metric,point_count,latest_step,latest_value,timestamp_ms
loss/avg_final_rewards,100,334,0.6907885670661926,1782143856175
reward/avg_pass_at_8,100,334,0.8125,1782143856175
eval/all/avg_score,13,325,0.9204629208343886,1782143116820
eval/all/pass_at_1,13,325,0.881159420289855,1782143116820
eval/all/mean_positive_reward,13,325,0.9998832106894611,1782143116820
policy/policy_entropy,100,334,8.022816473385319e-05,1782143856175
policy/grad_norm,100,334,1.3571787349064834e-05,1782143856175
loss/avg_raw_advantages_abs,100,334,0.38610419631004333,1782143856175
w8/reward_group_variance_mean,100,334,0.027275107380342924,1782143856175
w8/zero_variance_group_fraction,100,334,0.375,1782143856175
policy/policy_kl,0,,,
policy/response_length,100,334,1024.0,1782143856175
timing/step,100,334,87.52871584892273,1782143856175
timing/generate,100,334,57.48043251037598,1782143856175
timing/policy_train,100,334,15.258519411087036,1782143856175
timing/fwd_logprobs_values_reward,100,334,8.120383739471436,1782143856175
timing/sync_weights,100,334,5.536357164382935,1782143856175
